ad_id,rooms_count,area_m2,ceiling_height_m,price_rub,metro_distance_min,floors,passenger_elevator,cargo_elevator,bathroom_combined,bathroom_separate,balcony,loggia,price_per_metr,apartment_density,near_metro,parking_encoded,type_house_encoded,renovation_Дизайнерский,renovation_Евроремонт,renovation_Косметический,windows_На улицу,windows_На улицу и двор,garbage_chute_Нет,district_encoded,children_allowed_Нет,pets_allowed_Нет,premium_apartment
271271157,4,200,3.0,500000,9,16,4,1,0,0,0,0,2500,50,1,4,4,True,False,False,False,False,False,6,False,False,0
271634126,4,198,3.5,500000,8,16,1,1,2,1,0,0,2525,49,1,4,3,True,False,False,False,True,True,6,False,True,0
271173086,4,200,3.2,500000,7,16,1,0,3,0,0,0,2500,50,1,4,5,False,True,False,False,True,True,6,False,True,0
272197456,4,170,3.2,400000,3,6,1,0,3,0,0,0,2352,42,1,4,5,False,True,False,False,True,True,6,True,False,0
273614615,2,58,3.9,225000,7,26,1,1,2,0,0,0,3879,29,1,2,5,False,True,False,False,True,False,6,True,True,0
274837728,3,92,2.99,470000,5,7,0,0,0,0,0,0,5108,30,1,2,5,True,False,False,False,False,True,6,True,True,0
273643908,5,213,3.2,350000,4,5,1,0,2,0,0,0,1643,42,1,1,5,False,True,False,False,True,True,6,False,False,0
274475342,3,98,3.2,250000,3,4,1,0,1,1,0,0,2551,32,1,4,4,False,True,False,False,False,True,6,False,False,0
273973191,3,120,3.0,130000,9,10,1,0,1,0,0,0,1083,40,1,2,6,False,True,False,True,False,True,6,True,False,0
272900409,4,90,3.1,210000,10,7,1,0,1,1,1,0,2333,22,0,2,6,False,True,False,False,True,False,6,False,True,0
271036964,4,170,3.2,290000,5,7,1,0,3,0,0,0,1705,42,1,4,5,False,True,False,False,True,True,6,False,True,0
273999490,3,80,2.99,100000,2,8,1,0,1,0,3,0,1250,26,1,2,2,False,True,False,False,True,True,6,True,True,0
274017037,3,100,2.99,200000,8,4,1,0,2,0,0,0,2000,33,1,2,2,True,False,False,False,False,True,6,False,False,0
273231024,5,180,2.99,500000,9,8,3,0,2,1,0,1,2777,36,1,2,4,True,False,False,True,False,True,6,False,False,0
274839211,5,222,2.99,450000,5,9,1,0,2,0,1,0,2025,44,1,4,4,False,True,False,False,False,True,6,True,True,0
274767901,5,225,2.99,450000,6,9,4,0,0,0,0,0,2000,45,1,2,4,True,False,False,False,False,False,6,True,True,0
274995950,2,30,2.99,120000,10,26,0,0,1,0,0,0,4000,15,0,2,5,False,True,False,True,False,True,6,False,False,0
274945807,5,222,2.99,450000,5,9,0,0,0,0,1,0,2027,44,1,2,5,True,False,False,False,False,True,6,False,False,0
272911145,5,150,2.99,180000,12,7,1,0,2,0,1,0,1200,30,0,1,2,False,True,False,False,False,True,6,True,True,0
274748017,5,201,3.2,190000,6,3,1,0,3,0,0,0,945,40,1,2,5,False,True,False,False,True,True,6,False,False,0
273941734,2,64,2.99,205000,9,26,0,0,2,0,0,0,3203,32,1,2,5,False,True,False,True,False,True,6,False,False,0
274493570,3,112,3.2,230000,5,7,1,0,2,0,1,0,2053,37,1,4,5,False,True,False,False,True,True,6,False,True,0
274849101,4,190,2.99,590000,5,5,0,0,0,0,0,0,3105,47,1,2,5,True,False,False,False,False,True,6,True,True,1
